occupation,correction
Garner,20
General Domestic Sevt,20
General House Worker,20
General Labor,20
General Servant Domc,20
General Serveant,20
General Trader,20
General at Coast Guard Station Labourer,20
Genl Labr,20
Grocer Shop,20
Grocer and Hardware Merchant,20
Grocer's Asst,20
Grocer's Daughter,20
Grocer's Shop Assistant,20
Groom D Servant,20
Handkerchief Cutter,20
Helping at Home,20
Herd Boy,20
Hosekeeper,20
House Builder,20
House Decorator,20
House Domestic Servant,20
House Hold,20
House Keepr,20
House Maid D. Servant,20
House Painter Master,20
House and Parlour Maid Domestic,20
Housekeeping at Home,20
Housemaid D S,20
Housemaid Unemployed,20
"Housemaid, Domestic",20
Iron Merchant,20
Iron Moulder in Foundry,Foundry Iron Moulder
Joiner House,20
Kitchenmaid Domestic Servt,20
Labiourer,20
Labour in Iron Works,Iron Works Labour
Labour in Ship Yard,Ship Yard Labour
Labourer Garden,20
"Labourer, General",20
Lady Superintendent,20
Ladys Nurse,20
Landstewart,20
Linen Bettler,20
Linen Wever,20
Liner Weaver,20
Living on Out Door Relief,20
Machine Worker,20
Machinist at Factory,20
Military Pensioner,20
Militia Man,20
Milk Dealer,20
Milk Maid,20
Milk Vender,20
Mill Worker Linen Weaver,20
Musican,20
None Business,20
Nun Teacher,20
Nurse Maid Domestic Servant,20
Nurse Workhouse,20
Ordinary Attdt,20
Pensioner Royal Navy,20
Pipe Finisher,20
Plate Layer on Railway,Railway Platelayer
Platelayer on Railway,Railway Platelayer
Posting Establishment,20
R C Curate,20
Railway Gatekeeper,20
Railway Manager,20
Religious of St Louis,20
Retired Cattle Dealer,20
Retired Farmers Widow,20
Reviter,20
Rivitter,20
Salt Miner,20
School Attending,20
Schoollar,20
Seamester,20
Sergeant R.I.C.,20
Servant Domestic Unemployed,20
Servant Labourer,20
Shepherd Wife,20
Shop,20
Shop Assisant,20
Shop Assistance,20
Shopman Grocers,20
Shorthand Clerk,20
Slatemaker,20
Slipper Maker,20
Small Dealer,20
Spriger,20
Stationer Assistant,20
Stone Cutter Employed,20
Store Porter,20
Sulphur Miner,20
Surgeon Dentist,20
Teacher Natl School,20
Tenter Linen,20
Tenter in Linen Factory,Linen Factory Tenter
Typist and Shorthand Writer,20
Victuller,20
Violinist,20
Visitors,20
Ward Master,20
Washer Women,20
Winder Linen Factory,20
Works in Factory,20
1st Mate,19
Agriculter Labourer,19
Agricultular Labourer,19
App Carpenter,19
Apprentice Butcher,19
Apprentice Dressmaking,19
Apprentice Engine Fitter at Works,19
Apprentice Mason,19
Aricultural Labourer,19
Assistant Herd,19
Assistant Laundress,19
At House,19
Auxiliary Postman,19
Baker Employed,19
Blacksmith Helper,19
Boatmaker,19
Boiler Makers Helper,19
Book Binding,19
Bricklayers,19
Butchers Apprentice,19
Carpenter Son,19
Cattle Herd,19
Childrens Maid Domestic Servant,19
Civil Service Pensioner,19
Clerk Grocery,19
Clerk Linen Warehouse,19
Clerk in Bank,Bank Clerk
Clerk in Linen Warehouse,Linen Warehouse Clerk
Clerk in Mill,Mill Clerk
Co Council Clerk,19
Coachman Domestic Ser,19
Coachsmith,19
Commercial Clerk Brewery,19
Commercial Traveller Grocery,19
Commercial Traveller Tea,19
Confectionary,19
Cook D S,19
Cool Miner,19
Cork Domestic Servant,19
Cotton Sewer,19
Dealer Fowl,19
Domestic Genl Servant,19
Draper Traveller,19
Draper's Asst,19
Druggists Assistant,19
Electric Tram Driver,19
Embroidrer,19
Engineer Fitter at Works,19
Factory Hand Creamery,19
Factory Machinist,19
Factory Operator,19
Farmer Shopkeeper,19
Farmer's Cousin,19
Fireman in Factory,Factory Fireman
Fish Hawker,19
Footman Domestic,19
G. Domestic Servant,19
Gardener's Wife,19
Gardeners Daughter,19
Gen. Servant,19
Genera Labourer,19
General Dom Servant,19
General Laberor,19
General Servant Dome,19
General Servant Domt,19
Glass Blower,19
Gunsmith,19
Home Occupation,19
House Help,19
House Labourer,19
Housemaid Dom Servant,19
Housemaid Domestic S,19
Houses and Dividends,19
Huntsman,19
Income Derived from Land,19
Iron Ship Wright,19
Jute Shifter,19
Keep House,19
Kiln Man,19
Laborers Wife,19
Laborur,19
Labour Wife,19
Labourer Ag,19
Labourer Agri,19
Labourer Navvy,19
Labourer Quarry,19
Labourer in Limestone Quarry,Limestone Quarry Labourer
Labourer in Linen Mill,Linen Mill Labourer
Labours Daughter,19
Land Dividends,19
Leather Dresser,19
Lightkeeper,19
Linen Embroiderer,19
Linen Stitcher,19
Linen Thread Spinner,19
Linen Weaver Mill Worker,19
Linen Yarn Warper,19
Lives Private,19
Living on Private Means,19
Loom Mechanic,19
Machine Boy in Factory,Factory Machine Boy
Mason's Wife,19
Merchants Wife,19
Messageboy,19
Messege Boy,19
Messengers,19
Miner Coal,19
National School Teacher and Farmer,19
Navvy Labourer,19
Nuns Teaching Order,19
Nurse Ladies,19
O Merchant Sailor,19
Parlor Maid Domestic,19
Parlour Maid Servant,19
Pastry Cook,19
Pigbuyer,19
Plowman,19
Poor Woman,19
Postal Assistant,19
Postoffice Clerk,19
Printer Compositor Unemployed,19
Professed Religions,19
Professer Nun,19
Publician,19
R.I. Constabulary Pensioner,19
Railway Employe,19
Railway Engine Fireman,19
Reeler in Flax Spinning Mill,Flax Spinning Mill Reeler
Religious Teacher,19
Retired Land Steward,19
Retired Mariner,19
Retired N.S. Teacher,19
Retired Victualler,19
Rover Linen,19
Sales Girl,19
Sawier,19
School Attendance Officer,19
Servant Gen,19
Servant Genl,19
Sheepherd,19
Shoe maker,19
Shoemaker Apprentice,19
Shop Asistant,19
Sister of Nazareth,19
Small Shop Keeper,19
Son of a Farmer,19
Spinister,19
Spinner Flax Factory,19
Steward Domestic Servant,19
Steward Land,19
Sticher in Wareroom,Wareroom Sticher
Stockbroker,19
Stockbrokers Clerk,19
Stocking Seamer,19
Stone Mason Unemployed,19
Taipt by Suberstlion,19
Thread Twister,19
Tobaconist,19
Undergraduate T.C.D,19
Unoccupied,19
Visiter,19
Ward Mistress,19
Wife of Head of Family,19
Woodranger,19
Wool Spiner,19
Wool Weaver and Farmer,19
Woolen Spinner,19
Working Jeweller,19
Working Man,19
Yarn Drawer,19
Yarn Drier,19
A Farmer's Daughter,18
Accountant's Clerk,18
Agricultural Labourer and Farmer,18
App Plumber,18
Apprentice Milliner,18
Apprentice Pawnbroker,18
Argricultural Labourer,18
Artisan,18
Assistant Postman,18
Assists in House Keeping,18
At Scholl,18
Baker's Wife,18
Ballad Singer,18
Bank Messenger,18
Bill Porter,18
Book Folding,18
Booking Clerk,18
Bookseller and Stationer,18
Brewery Agent,18
Bucher,18
Bundler,18
Cab Man,18
Canal Labourer,18
Carpenter Daughter,18
Carpenter Working,18
Carpet Layer,18
Carter Coal,18
Carter Domestic Servant,18
Cellarman,18
Chore Woman,18
Cloths Dealer,18
Coat Maker,18
Commercial Clerk Grocery,18
Constable D M P,18
Cook Domestic servant,18
Cook and Domestic Servant,18
Cooper Unemployed,18
Cork Merchant,18
Craneman,18
Cycle Machanic,18
Daily Governess,18
Daughter Farmer,18
Daughter of Labourer,18
Distillers Labourer,18
Diver,18
Dock Yard Labourer,18
Doffer in Flax Spinning Mill,Flax Spinning Mill Doffer
Domask Weaver,18
Domestic Help,18
Domestic Servt Housemaid,18
Draper Pedlar,18
Draper and Farmer,18
Dress Makers,18
Driller Shipyard,18
Droper,18
Electrican,18
Employed in Factory,18
Engaged at Home,18
Ex School Teacher,18
Factory Linen Weaver,18
Factory Spinner,18
Farm servant,18
Farmer Daugter,18
Farmer Grocer,18
Farmer Niece,18
Farmer Publican,18
Farmer's Gd Son,18
Farmer's Step Son,18
Farmeres,18
Ferryman,18
Fireman Steam Vessel,18
Flax Spinning Master,18
Float Man,18
Flour Agent,18
Framer,18
Gardener Domestic Svt,18
Gas Inspector,18
Gate House Keeper,18
Genarl Labourer,18
General Carter,18
General Domestic Sert,18
Generl Labourer,18
Governess Domestic,18
Governess Unemployed,18
Grocer Unemployed,18
Helping on Farm,18
His Wife,18
House Proprietor,18
Housemaid Dom Servt,18
Houses and Land,18
Income from Annuity,18
Indoor Servant,18
Iron Foundry Labourer,18
L. Weaver,18
Laborer's Wife,18
Labourer Gen.,18
Labourer in Brickyard,Brickyard Labourer
Labourer in Lime Quarry,Lime Quarry Labourer
Labourer in Milk Factory,Milk Factory Labourer
Labourer in Ropework,Ropework Labourer
Lady Nurse,18
Land and House Property,18
Linen Examiner,18
Linen Factory Manager,18
Living on her Money,18
Machine Sawyer,18
Master Boot Maker,18
Meason,18
Member of Family,18
Mill Girl,18
Mineral Water Maker,18
Mother of Family,18
Nat. S. Teacher,18
Navel Pensioner,18
Neither,18
Nl Teacher,18
No Occuption,18
Not Scholars,18
Of No Occupation,18
Paper Merchant,18
Parlormaid Domestic Servant,18
Parlourmaid Domestic Servt,18
Pauper in Workhouse,Workhouse Pauper
Pensioner from R I C,18
Pern Winder,18
Plasterers Labourer,18
Plough Boy,18
Porter Grocer,18
Professed Religious,18
R Postman,18
Rag Picker,18
Range Setter,18
Reeler in Spining Mill,Spining Mill Reeler
Reller Flax,18
Retired Banker,18
Retired Farmer's Daughter,18
Retired Hotel Keeper,18
Retired Milliner,18
Retired Natl Teacher,18
Retired Spirit Merchant,18
Riviter,18
Roman Catholic Parish Priest,18
Rougher Flax,18
Sack Maker,18
Sack Making,18
Sales Lady,18
Sand Contractor,18
Scholar No Occupation,18
Scholar None,18
Scholas,18
Schollors,18
School Assistant,18
School Gairl,18
School Monitress,18
Seamstress Shirt Maker,18
Seeamstress,18
Seed Porter,18
Sergt R I C,18
Servant on Farm,Farm Servant
Ships Cook,18
Shop Keeper Assistant,18
Shorthand Typist,18
Sis of Mercy,18
Smoother Linen,18
Soda Water Bottler,18
Soldier Private,18
Son Farmer,18
Spinner Factory,18
Spinner Flax Mill,18
Spinner in Flax Factory,Flax Factory Spinner
Spinner in Thread Factory,Thread Factory Spinner
Spooler,18
Stationer and News Agent,18
Stock Brokers Clerk,18
Stone Cuter,18
Stucco Plasterer,18
Surface Man on Road,Road Surface Man
Tailor and Cutter,18
Talor,18
Teacher of Languages,18
Telegraph Mgr,18
Telephone Clerk,18
Tent Maker,18
Thread Spooler,18
Ticket Collector,18
Tin Smyth,18
Under Housemaid,18
Unemployed Servant,18
Victualler and Farmer,18
Victullar,18
Vintners Assistant,18
Wareroom Keeper,18
Wareroom Machinist,18
Wash Women,18
Washing,18
Wife House Keeper,18
Wool Merchant,18
Wool Waver,18
Work in Farm,18
Yard Man Domestic Servant,18
Yarn Dryer,18
Yarn Finisher,18
AB Seaman,17
Agricultre Labourer,17
Agricultural Labo,17
Agricultural Labourer's Daughter,17
Agricultural Lbr,17
Annuity No Occupation,17
Apprentice Plasterer,17
Assistant Chemist,17
Assistant Clerk of Union,17
Assistant Manager,17
Assistant Stationer,17
Assistant to Above,17
Assisting at Farming,17
Barrack Warden,17
Bath Attendant,17
Blacksmith Daughter,17
Blacksmith's Daughter,17
Blacksmith's Son,17
Blacksmiths Son,17
Book Agent,17
Bookmaker,17
Boot Saleswoman,17
Brick Layer Labourer,17
Brick and Stone Layer,17
Butchers Messenger,17
Cab and Car Proprietor,17
Cart Wright,17
Cartmaker,17
Catch Boy,17
Cattle Daler,17
Cattle Salesman,17
Chemist Apprentice,17
Cholars,17
Christian Brother Teacher,17
Cleaner in Mill,Mill Cleaner
Clerk Bank,17
Clerk Merchants,17
Clerk Office,17
Clerk Wine Merchant,17
Clerk to Co Council,17
Coachman Servant,17
Coal Minor,17
Commercial Clerk Unemployed,17
Commercial Traveller Hardware,17
Commerical Traveller,17
Constable R. I. Constabulary,17
Constable R.I.Constabulary,17
Cook Dom. Servt,17
Cook and General Servant,17
"Cook, Domestic",17
"Cook, Domestic Servt",17
Daily Worker,17
Dairy man,17
Dairyman's Wife,17
Daler,17
Dental Assistant,17
Dental Surgeon,17
Dividents,17
Doffer Flax Mill,17
"Domestic Servant, Cook",17
Domestic Servt Nurse,17
Drapers Shopman,17
Drapery Clerk,17
Drapery Shopman,17
Driller in Ship Yard,Ship Yard Driller
Druggist and Grocer,17
Dsk Weaver,17
Employed in Farm,17
Engine Cleaner at Works,17
Engine Fitter Works,17
Factor Girl,17
Factory Assistant,17
Farm Labourers Daughter,17
Farm Labrour,17
Farm Labrourer,17
Farm Sevant,17
Farmer Daug,17
Farmer Dauter,17
Farmer J P,17
Farmer J.P.,17
Farmer S,17
Farmer Servant Domestic,17
Farmer and C,17
Farmer and Magistrate,17
Farmer and R.I.C Pensioner,17
Farmer and Shoe Maker,17
Farmer's G Son,17
Farmer's Step Daughter,17
Farmers Gd Daughter,17
Fiddler,17
Fish and Fruit Dealer,17
Fishwoman,17
Fitters Assistant,17
Foreman Cooper,17
Game Keeper Domestic Servant,17
Gardener Domestic Ser,17
Gardener Labourer,17
Garvey,17
Gas Meter Inspector,17
Gen Labour,Gen Labourer
General Labourers Wife,17
General Servants Domestic,17
Genral Labour,Genral Labourer
Going to Shool,17
Goods Checker,17
Governers,17
Grocer's Manager,17
Grocer's Wife,17
Grocers Labourer,17
Grocers Message Boy,17
Groom Unemployed,17
Half Timer,17
Hand Embroidery,17
Handkerchief Ornamenter,17
Hardware Business,17
Heckler,17
Help on Farm,17
Herd and Farm Labourer,17
House Duty,17
House Parlourmaid Domestic Servant,17
Housemaid D. Servant,17
Idle,17
In School,17
Insurance Secretary,17
Investments,17
Iron Moulder Unemployed,17
Journeyman Baker,17
Laberer,17
Laborour and Fisherman,17
Labour Coal,17
Labourer Agricultl,17
Labourer Malster,17
Labourer in Corn Mill,Corn Mill Labourer
Labourer in Saw Mills,Saw Mills Labourer
Labourer in Thread Factory,Thread Factory Labourer
Labouring Boy,17
Land Agent's Clerk,17
Landuress,17
Laundry Hand,17
Laundrymaid,17
Licensed Trader,17
Linen Warehouse,17
Linen Weaver Factory,17
Machiniest,17
Malt Man,17
Maltman,17
Market Porter,17
Members of Religious Community,17
Merchant Clerk,17
Merchant Daughter,17
Merchants Assistant,17
Merchants Son,17
Mill Work,17
Milliner and Draper,17
Milliner and Saleswoman,17
Mineral Water Labourer,17
Monitor in National School,National School Monitor
Moterman,17
Newspaper Reporter,17
No Bussiness,17
No Particular Occupation,17
No Profession or Occupation,17
Not at School Yet,17
Nurse Dom Servt,17
Over Seamer,17
Overseer,17
P. O. Assistant,17
Page Domestic Servant,17
Pager,17
Pensioner Infantry,17
Pensioner Royal Artillery,17
Plastrer,17
Platers Labourer,17
Police Sergeant,17
Poor Law Relief,17
Porter Domestic Servant,17
Porter on Railway,Railway Porter
Presser,17
Principal of School,17
Printer Machinist,17
R.C. Curate,17
Railway Clark,17
Railway Servant Porter,17
Railway Workman,17
Receiving Instructions at Home,17
Retired Agl Labourer,17
Retired Domestic Servt,17
Retired Dress Maker,17
Retired Sergt R I C,17
Retired from Business,17
Royal Irish Constabulary,17
Salesman Drapery,17
Sausage Maker,17
Schorlar,17
Scolhar,17
Scrivener,17
Seamstress Unemployed,17
Sergt R I Constabulary,17
Sergt R.I.C,17
Ship Broker,17
Ship Fireman,17
Ship Rivetter,17
Shirt Makers,17
Shirt Stitcher,17
Shirt Worker,17
Shoemaker Unemployed,17
Shop Clerk,17
Shop Domestic Servant,17
Shop Keeper Draper,17
Shop Keeper Farmer,17
Shop Keeper Wife,17
Shop Labourer,17
Soldier Wife,17
Solicitor Apprentice,17
Sorting Clerk,17
Spinning Factory,17
Sr. of Mercy,17
Srs. of Mercy,17
Stable Man Domestic Servant,17
Stock Keeper,17
Student Medicine,17
Tailoring,17
Teacher N School,17
Timber Labourer,17
Tweed Finisher,17
Under Graduate,17
Under Steward,17
Watchmaker Repairer,17
Wheelright,17
Wine Merchant Clerk,17
Work at Home,17
Working in the Farm,17
Yarn Winder in Factory,Factory Yarn Winder
A Farm Labourer,16
A Religions,16
Agricultar Labourer,16
Always an Idiot,16
Annuitie,16
Apprentic,16
Apprentice Cooper,16
Apprentice to Plumbing,16
Apprentice to Tailoring,16
Aprentice Carpenter,16
Aprentice Fitter,16
Art Teacher,16
Assistant Brother,16
Assistant National Teacher,16
Assistant to Father,16
Assisting,16
At college,16
Bagmaker,16
Baker Journeyman,16
Bakers Assistant,16
Bakery Clerk,16
Beamer,16
Boatbuilder,16
Book Maker,16
Boots in Hotel,16
Brass Polisher,16
Brewers Drayman,16
Brewery Messenger,16
Business Man,16
Camberic Weaver,16
Caretaker Domestic Servant,16
Caretaker's Son,16
Carpenter Farmer,16
Carpenters,16
Carptener,16
Catle Dealer,16
Check Clerk,16
Child of Labourer,16
Child of Servant,16
Civil Assistant Ordnance Survey,16
Clerk Bank of Ireland,16
Clerk Draper,16
Clerk in Holy Orders Church of Ireland,16
Clock Repairer,16
Clothes Broker,16
Coast Guard Boatman,16
Coast Guards Wife,16
Comission Agent,16
Commercial Clerk Timber Trade,16
Comml Traveller,16
Confectioner and Cook,16
Constable's Wife,16
Corn Broker,16
Corporation Clerk,16
Crochet Weaver,16
Crocheter,16
Domc Servant,16
Domestic Servant Waiter,16
Domestic Servnt,16
Domistic Servant,16
Domstic Servant,16
Draper and Milliner,16
Drapery Agent,16
Drapery Merchant,16
Embroidery Worker,16
Employed on the Farm,16
Engin Fitter at Works,16
Factory Worker Shirt,16
Farm Labourer on his Fathers Farm,16
Farm Labs Wife,16
Farm Serant,16
Farm Servant Agricultural Labourer,16
Farme Labourer,16
Farmer Daugt,16
Farmer Grand Son,16
Farmer Servent,16
Farmer and Builder,16
Farmer and Gardener,16
Farmer and Linen Weaver,16
Farmer and c,16
Farmer's Daugher,16
Farmer's Son's Wife,16
Farmers Cousin,16
Farmers Dghtr,16
Fever Nurse,16
Firesman,16
Fisherman Farm Labourer,16
Fisherman Farmer,16
Fitter Apprentice,16
Fitter in Iron Works,Iron Works Fitter
Flax Drawer in Mill,Mill Flax Drawer
Foreman Carter,16
Form Servant,16
Fruit Vender,16
Gen Ser Domestic,16
General Black Smith,16
General D. Servant,16
General Labourar,16
Generl Servant,16
Genl. Domestic Servant,16
Glass Bottle Maker,16
Grocer Asst,16
Grocer and General Merchant,16
Grocers Assistant Unemployed,16
Grocery Manager,16
Grocery and Provision,16
Gun Maker,16
Hand Kerchief Folder,16
Herd and Labourer,16
Herd'sman,16
Herdsman's Daughter,16
Ho Keeper,16
Honourable,16
Horsetrainer,16
House Attendant,16
House Ceeper,16
House Maid D S,16
House Maid Domestic Ser,16
House Maid Unemployed,16
House and Land Owner,16
House maid Domestic Servant,16
Housekeepers,16
Houses,16
Income from Dividend,16
Income from Land Property,16
Income from Lands,16
Independant Means,16
Infirmarian Nun,16
Insurance Official,16
Justice of Peace,16
Kilnman,16
Labourer Bricklayers,16
Labourer Factory,16
Labourer at Iron Works,16
Labourer in Gasworks,Gasworks Labourer
Labourer in Lime Works,Lime Works Labourer
Labourers Sister,16
Labouring Woman,16
Land Agent and Farmer,16
Land Clerk,16
Landeress,16
Laubourer,16
Limerick Lace Worker,16
Linen Carder,16
Linen Draper,16
Linen Thread Reeler,16
Linen Yarn Worker,16
Machenist in Shirt Factory,Shirt Factory Machenist
Market Gardiner,16
Masson,16
Master Coach Builder,16
Mem of Teaching Religion Order,16
Member of Dublin Stock Exchange,16
Member of Loreto Abbey Dalkey,16
Member of Religious Order,16
Messenger in Brewery,Brewery Messenger
Mill Clerk,16
Millright,16
Muslin Embroider,16
Navvy and Labourer,16
Newspaper Editor,16
Night Porter,16
No Proffesion,16
No Specified Occupation,16
None Pauper,16
Nurse. Domestic Servant,16
Occupied at Home,16
Officer,16
Operative Baker,16
Outdoor Relief,16
Overlooker,16
Painters Apprentice,16
Parlour maid,16
Pensioner R I Consty,16
Printer Machineman,16
Printers Apprentice,16
Private Teacher,16
Professed Nun,16
Proffessor of Music,16
Public Accountant,16
Queen's Scholar,16
R C Sister of Mercy,16
Read and Write,16
Receiving Out Door Relief,16
Reed Maker,16
Retired Accountant,16
Retired Dairyman,16
Retired Gardner,16
Retired Sergt R.I.C,16
Rougher in Spinning Mill,Spinning Mill Rougher
Saimstress,16
Sanitary Officer,16
Scho,16
Scholal,16
Scholl Boy,16
Schololar,16
School Monitor,16
Schoole,16
Schoral,16
Schoular,16
Scolors,16
Seamstress and Farmer,16
Servant Parlour Maid,16
Ship Agent,16
Shirt Sewer,16
Shop Girl Drapery,16
Shop Keeper's Son,16
Showman,16
Silver Plater,16
Singer,16
Soap Maker,16
Soldiers Daughter,16
Sorting Clerk and Telegraphist Post Office,16
Spirit Merchant and Farmer,16
Stable Lad,16
Stableman Domestic Servant,16
Steam Loom Weaver,16
Stone Mason Master,16
Stone Sawyer,16
Teacher N. School,16
Teacher and Farmer,16
Teachers Daughter,16
Tow Carder,16
Under Housemaid Domestic Servant,16
Undergraduate T.C.D.,16
Vocalist,16
Waiter Domestic,16
Ware House,16
Wareroom Hand,16
Weaving,16
Widow of Farmer,16
Window Blind Maker,16
Wine Merchants Clerk,16
Woolspinner,16
Woolweaver,16
Work in Factory,16
Young Child,16
1st Engineer,15
A Child,15
A Farmers Wife,15
Agrcl Labourer,15
Agrcultural Labourer,15
Agricultur Labour,Agricultur Labourer
Agricultural Labou,15
Apprentice Black Smith,15
Apprentice Gardener,15
Apprentice Shoe Maker,15
Apprentice to Carpentry,15
Apprentice to Grocer,15
Architect and Civil Engineer,15
Assistant Blacksmith,15
Assistant Ironmonger,15
Assistant in Post Office,Post Office Assistant
Assisting House Keeper,15
Assisting Housekeeper,15
Asylum Attat,15
Attg School,15
Augricultural Labourer,15
Backer,15
Baker's Apprentice,15
Bank Clark,15
Bank Inspector,15
Baronet,15
Barrister Practising,15
Beetler in Beetling Mill,Beetling Mill Beetler
Boat Owner,15
Boat man,15
Boot Top Fitter,15
Brewer's Labourer,15
Brewery Pensioner,15
Builders Laborer,15
Buisness,15
Business Manager,15
Butcher Unemployed,15
Butler Merchant,15
Button Hole Cutter,15
Button Hole Machinist,15
Caretaker's Wife,15
Carman Labourer,15
Carmelite Gun Helping of Support themselves by Manual Works,15
Carpenter and Publican,15
Carriers Labourer,15
Cart Driver,15
Cartwright,15
Catholic,15
Cattle Buyer,15
Catton Weaver,15
Charing,15
Child at Home,15
Child of Above,15
Child's Maid,15
Clerk Accountant,15
Clerk G.P.O,15
Clerk Grocer,15
Clerk Hardware,15
Clerk Writing,15
Clerks,15
Coachman Dom Servant,15
Coachman Domestic S,15
Coachpainter,15
Coal Quay Labourer,15
Coal Trimmer,15
Coal Vendor,15
Coml Clerk,15
Commercial Clerk Linen Business,15
Const R. I. C,15
Const R.I.C.,15
Cook and House Keeper,15
Cook and Housekeeper,15
Cow Herd,15
Creamery Maid,15
Daughter of a Farmer,15
Dealer Cattle,15
Dealer in Groceries,Groceries Dealer
Dealer in Soft Goods,Soft Goods Dealer
Dental Mechanic,15
Dessmaker,15
Devidends,15
Domestic Servt Farmers,15
Domesticated,15
Drapery Trade,15
Egg Buyer,15
Engin Cleaner,15
Engine Fitter Unemployed,15
Engine Fitter at Factory,15
Engineer in Works,Works Engineer
Ex. Teacher,15
Far Daughter,15
Farm Domestic,15
Farm General Labourer,15
Farm Labourer Agricultural,15
Farm Labr,15
Farm Workman,15
Farmer Housekeeper,15
Farmer Laborer,15
Farmer and Boatman,15
Farmer and Boot Maker,15
Farmer and Land Surveyor,15
Farmers Brother in Law,15
Fish Curer,15
Fisherman Unemployed,15
Flax Layer,15
Flax Spinner in Linen Mill,Linen Mill Flax Spinner
Fr Daughter,15
Franciscan Nuns,15
Fruit and Fish Dealer,15
Furniture Merchant,15
Garden Labour,Garden Labourer
General Agricultural Labourer,15
General Business,15
General House Hold Work,15
General Labourer in Bleach and Dye Works,Bleach and Dye Works General Labourer
General Labourer in Paper Mill,Paper Mill General Labourer
General Labrourer,15
General Manager,15
General S. Domestic,15
General Servant Doms,15
General Servant Nurse,15
Going to Scool,15
Government Clerk,15
Grocer Manager,15
Grocers Wife,15
Grocery Apprentice,15
Hankerchief Folder,15
Heckler in Mill Flax Dresser,15
Herd Shepherd,15
Home Instruction,15
Hospital Matron,15
House Keepe,15
Housemaid Domestic Sert,15
Income from House,15
Income of Money,15
Industrial Pupil,15
Inf,15
Instructin of Youth,15
Ironer,15
Ironmonger's Assistant,15
Keeper,15
Knitting Stockings,15
Labourar,15
Labourer Attending School,15
Labourer Distillery,15
Labourer Masons,15
Labourer at Factory,15
Labourer general,15
Labourer on Railway Line,Railway Line Labourer
Laboures,15
Lady Companion,15
Lady Housekeeper,15
Lady's Maid Domestic,15
Land Commissioner,15
Land and Houses,15
Laundry Maid Domestic,15
Laundrymaid Domestic Servant,15
Learning Laundry Work,15
Left School,15
Licenced Publican and Farmer,15
Linen Spinner Mill Worker,15
Linen Warehouse Worker,15
Linen Yarn Bleacher,15
Linnen Bleacher,15
Loding House Keeper,15
Machiness,15
Malt Labourer,15
Master Plasterer,15
Mechanical Dentist,15
Member of Teaching Religion Order,15
Members of Religions Community,15
Mesage Boy,15
Messengar,15
Milesman Railway,15
Mill worker,15
Naval Architect,15
Newspaper Manager,15
No Busines,15
No Occupation at Present,15
Nurse Trained,15
