Cannot read at school,Read Write
Can riad write,Read Write
Cannot read an write,Illiterate
Can reed onely,Read
Cann read write,Read Write
No read or w,Illiterate
Can read and ri,Read Write
Rear and write,Read Write
Read etc write,Read Write
Can read and write only,Read Write
Cannot either read or write,Illiterate
Cant Read or Write,Illiterate
Rede,Read
Reide and wright,Read Write
I write and r,Read Write
Cannot write read only,Read
Read and write booth,Read Write
Not red,Illiterate
Cant read or,Illiterate
Read and write c/c,Read Write
Yes ?,Read Write
Read v write,Read Write
Reades and writes,Read Write
R-w,Read Write
Not read nor right,Illiterate
Reed and wite,Read Write
Cannot no,Illiterate
Can read also write,Read Write
Cannot rea or write,Illiterate
Read and whrite,Read Write
Neither r nor write,Illiterate
Read write and cant,Illiterate
Cannot not read or write,Illiterate
Read righte,Read Write
Can boath,Read Write
Learnnig read and write,Read Write
Read and write school,Read Write
Reed a write,Read Write
Cannot read r rite,Illiterate
Read nor wright,Illiterate
Rd and Write,Read Write
She can read only,Read
Cannor read,Illiterate
Can read and not write,Read
Read ony,Read
Cannot read or rte,Illiterate
Yeas read and write,Read Write
W read write,Read Write
Scohlar,Read Write
Yes able to read and write,Read Write
Cannot or read,Illiterate
Reading riting,Read Write
W - r,Read Write
Not r or w,Illiterate
Read andc write,Read Write
Read and write can read,Read Write
No Educated,Illiterate
Nannot read,Illiterate
Wred and write,Read Write
No infant,Illiterate
Not either,Illiterate
Canot read or,Illiterate
To School,Read Write
Read and writs,Read Write
Wright,Write
Read writes,Read Write
Caned read,Read
Cant write read,Read
Cannot read r write,Illiterate
English read write,Read Write
Or cannot read,Illiterate
Can r and right,Read Write
Redd and right,Read Write
Read writing,Read Write
Read Wright,Read Write
Not at School,Illiterate
Canot read and w,Illiterate
Both Read or write,Read Write
Read and wrtte,Read Write
Reaad,Read
Read and write fair,Read Write
At schooll,Read Write
Cannot reard or write,Illiterate
Donot read or write,Illiterate
Cant not read,Illiterate
At home,Illiterate
R read and write,Read Write
C read and right,Read Write
Read and writen,Read Write
Cannot r rite,Illiterate
Read in rite,Read Write
Can reead rite,Read Write
Yes yes,Read Write
All can read write,Read Write
Read and rght,Read Write
Can Both read and write,Read Write
Can't read write,Illiterate
Learning both,Read Write
Cannot read or dont write,Illiterate
Rd wr,Read Write
Cannot or w,Illiterate
Reed writte,Read Write
Cant red or rite,Illiterate
Two young,Illiterate
Can w read,Read Write
Cant Read or write,Illiterate
Schloar,Read Write
At chool,Read Write
Read and write fairly educated,Read Write
Cannto read,Illiterate
Cannot read attending school,Read Write
W read and wr,Read Write
Read and watee,Read Write
Reaed and write,Read Write
Education read write,Read Write
Read and write can both,Read Write
Can read onley,Read
Both read and rite,Read Write
Able to write and read,Read Write
Reed and r,Read Write
Read and wriht,Read Write
Cannot read or wrie,Illiterate
Neither read r write,Illiterate
Not reid,Illiterate
Cannt read nor write,Illiterate
Reaid rite,Read Write
Roman and write,Read Write
Can not read write,Illiterate
Read and wurite,Read Write
Read or writ,Read Write
Can read nor w,Illiterate
C not read write,Illiterate
Neither read not write,Illiterate
Cant read no write,Illiterate
Canot read w,Illiterate
Cannor read or write,Illiterate
C read c write,Read Write
Cannot rd or wte,Illiterate
Cannot read on write,Illiterate
Cant reid or write,Illiterate
Not Yet,Illiterate
no,Illiterate
Write or read,Read Write
Cant read nor w,Illiterate
Re rite,Read Write
R and wrte,Read Write
Did wright,Write
Writ and read,Read Write
Read and write literate,Read Write
Wread and wright,Read Write
Con do both,Read Write
Cannot Read write,Illiterate
Scollars,Read Write
Reade an write,Read Write
Reede write,Read Write
R or write,Read Write
Cannot write or write,Illiterate
? read,Illiterate
Cannot read too young,Illiterate
both,Read Write
Can Read and rite,Read Write
Cannot Write,Read
Reid and writ,Read Write
Cannot rread,Illiterate
Read can write,Read Write
Good read and write,Read Write
Can no read,Illiterate
Cannot read or rig,Illiterate
Cannot read can write,Write
Read and rte,Read Write
Read write English,Read Write
R and r and r,Read Write
Cannot read or write too young,Illiterate
Read ondly,Read
Read cannot rite,Read
Cannot red nor write,Illiterate
Do read write,Read Write
Not Either,Illiterate
Not read or writ,Illiterate
Cannt read and write,Illiterate
Nil cannot read,Illiterate
Raad and write,Read Write
Cannot w or read,Illiterate
Cannot reat or write,Illiterate
Do not read,Illiterate
Redd only,Read
Cannot w read,Illiterate
Cannon read or write,Illiterate
Reid right,Read Write
Reade writte,Read Write
Reaid wright,Read Write
Read write scholars,Read Write
Read yes,Read
She cannot,Illiterate
Cannt read or wrte,Illiterate
Reed not wright,Read
Rd we,Read Write
No and no,Illiterate
Reed an right,Read Write
Cannot read or write neither,Illiterate
Kead write,Read Write
Cant reid write,Illiterate
Reader,Read
Can write and reed,Read Write
Cann read only,Read
Can reed and rit,Read Write
Reid and wrte,Read Write
Rread a write,Read Write
Infant cannot read or write,Illiterate
Cannot read english,Illiterate
Wrte and read,Read Write
Can neither read and write,Illiterate
Not rd or write,Illiterate
Read or,Read
Rad,Read
Read and wrte scholar,Read Write
Read and wrise,Read Write
Cannot read no education,Illiterate
Cannot r and r,Illiterate
Can Read and Wright,Read Write
Cannot read Child,Illiterate
"Can ""read and write""",Read Write
Can read read and write,Read Write
Neil,Illiterate
Cannot read not,Illiterate
Infant cannot read,Illiterate
Well educated,Read Write
Camnot read,Illiterate
Read wighte,Read Write
C r and w,Read Write
Midling,Read Write
Red and rit,Read Write
Minor,Illiterate
C reed and wright,Read Write
Not old enough,Illiterate
Can read (write),Read Write
Can R and w,Read Write
Read but cant write,Read
Canot reed or right,Illiterate
Cannot read nor wrigh,Illiterate
Nor write,Illiterate
Can read can wrt,Read Write
Cannott read write,Illiterate
Cant reed or rit,Illiterate
Cannot cannot,Illiterate
Read and little,Read Write
Can't rd or write,Illiterate
Write Read,Read Write
Can r only,Read
Read not,Illiterate
To school,Read Write
Scholour,Read Write
Reod,Read
Can reat and write,Read Write
