name,gender,NI_appFrac,NI_avgVal,SC_appFrac,SC_avgVal,EW_appFrac,EW_avgVal,UK_appFrac,UK_avgVal
ISHRAT,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISHRAT,F,0.0,0.0,0.095,1.25,0.633,7.68,0.243,2.977
ISHRATH,F,0.0,0.0,0.0,0.0,0.1,3.33,0.033,1.11
ISHTAR,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHTI,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHTIAQ,M,0.0,0.0,0.167,1.0,0.233,3.14,0.133,1.38
ISHVEER,M,0.0,0.0,0.0,0.0,0.067,3.5,0.022,1.167
ISHWAR,M,0.0,0.0,0.024,1.0,0.067,3.5,0.03,1.5
ISHWARI,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHYA,F,0.0,0.0,0.024,1.0,0.033,3.0,0.019,1.333
ISIAH,M,0.0,0.0,0.024,1.0,0.567,8.24,0.197,3.08
ISIAJAH,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIAKA,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIBEAL,F,0.053,3.0,0.0,0.0,0.0,0.0,0.018,1.0
ISIDOR,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIDORA,F,0.0,0.0,0.048,1.0,0.233,4.14,0.094,1.713
ISIDORE,M,0.0,0.0,0.0,0.0,0.1,3.0,0.033,1.0
ISIDORO,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIDOROS,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIKELI,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIL,F,0.0,0.0,0.0,0.0,0.1,3.33,0.033,1.11
ISILA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIMELI,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIMHEMNEN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISINA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIO,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIOMA,F,0.0,0.0,0.024,1.0,0.133,3.5,0.052,1.5
ISIRA,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISIS,F,0.0,0.0,0.19,1.5,0.667,28.55,0.286,10.017
ISIUA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISKA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISKAN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISKANDAR,M,0.0,0.0,0.048,1.0,0.0,0.0,0.016,0.333
ISKANDER,M,0.0,0.0,0.0,0.0,0.033,4.0,0.011,1.333
ISKRA,F,0.0,0.0,0.071,1.0,0.0,0.0,0.024,0.333
ISLA,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLA,F,0.632,50.42,0.976,126.07,0.667,1333.75,0.758,503.413
ISLAA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLAEN,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLAGH,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLAH,F,0.0,0.0,0.095,1.0,0.267,4.25,0.121,1.75
ISLAM,F,0.0,0.0,0.048,1.0,0.0,0.0,0.016,0.333
ISLAM,M,0.0,0.0,0.286,1.0,0.633,6.37,0.306,2.457
ISLAMAE,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLAME,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLAROSE,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLAY,F,0.0,0.0,0.881,4.76,0.567,9.71,0.483,4.823
ISLAY,M,0.0,0.0,0.119,1.0,0.0,0.0,0.04,0.333
ISLE,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLEAN,F,0.0,0.0,0.071,1.0,0.0,0.0,0.024,0.333
ISLEIGH,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLEY,F,0.0,0.0,0.071,1.0,0.0,0.0,0.024,0.333
ISLEY,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISLIE,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISLYA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISMA,F,0.0,0.0,0.405,1.12,0.667,16.4,0.357,5.84
ISMAA,F,0.0,0.0,0.048,1.0,0.033,4.0,0.027,1.667
ISMAAEEL,M,0.0,0.0,0.0,0.0,0.3,4.22,0.1,1.407
ISMAAEL,M,0.0,0.0,0.0,0.0,0.133,3.0,0.044,1.0
ISMAE,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISMAEEL,M,0.0,0.0,0.381,2.12,0.633,57.47,0.338,19.863
ISMAEIL,M,0.0,0.0,0.024,1.0,0.033,3.0,0.019,1.333
