name,gender,AB_appFrac,AB_avgVal,BC_appFrac,BC_avgVal,OT_appFrac,OT_avgVal,CN_appFrac,CN_avgVal
DAVRINE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVUD,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAVY,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAVYD,M,0.115,1.0,0.0,0.0,0.0,0.0,0.038,0.333
DAVYDA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVYEN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVYN,M,0.577,1.93,0.01,5.0,0.0,0.0,0.196,2.31
DAVYNA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAWAR,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWHII,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWIAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWIANE,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWID,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWIT,M,0.231,1.17,0.0,0.0,0.0,0.0,0.077,0.39
DAWN,F,1.0,5.12,0.67,38.12,0.01,6.0,0.56,16.413
DAWNA,F,0.423,1.27,0.13,6.31,0.01,7.0,0.188,4.86
DAWNALINE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNARAE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNAVEN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNE,F,0.038,1.0,0.09,6.11,0.01,8.0,0.046,5.037
DAWNELLA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAWNELLE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
